Правовой результат;+7–911–238–98–62;Санкт-Петербург, Большая Пороховская, 25;pravovojrezultat.ru;info@pravovojrezultat.ru
Atra;+7 (812) 274–41–14;Санкт-Петербург, Советская 9-я, 4;atralex.ru;
Собственник, ООО;+7 (812) 370–31–26, +7–911–749–23–64;Санкт-Петербург, Варшавская, 37 к1;;
Адвокатская консультация №3;+7 (812) 741–10–08, +7 (812) 741–10–84, +7 (812) 741–10–70;Санкт-Петербург, Свободы, 14;;
Статский Советник, ООО;+7–965–015–90–21;Санкт-Петербург, Косая линия, 16 к2 лит А;;
ЮрисконсультЪ, ООО;+7 (812) 981–44–18;Отель Москва,Санкт-Петербург, Александра Невского площадь, 2;;
СУДИСТ;+7 (812) 401–10–00;Санкт-Петербург, Банковский переулок, 6;sudist.ru;
Адвокатский кабинет Якубова Р.К.;+7–921–962–19–51;Санкт-Петербург, Оранжерейная, 48;advocat-pushkin.ru;
Новация;+7–921–958–79–58, +7–921–951–98–29;Гостиница Октябрьская,Санкт-Петербург, Лиговский проспект, 10/118;znay-zakon.ru;
СФЕРА Консалтинг, ООО;+7 (812) 917–47–57;Санкт-Петербург;;
ПАРИТЕТ;+7 (812) 928–70–90, +7 (812) 441–39–99;Санкт-Петербург, Рылеева, 24;www.e-paritet.ru;
Юридическая консультация №56;+7 (812) 408–24–91;Санкт-Петербург, Политехническая, 31;;
Ваше Право;+7 (812) 727–12–70, +7 (812) 982–80–84;Санкт-Петербург, Звёздная, 16;vashepravospb.narod.ru;
Адвокатский кабинет Казюхиной Р.В.;+7–981–884–13–90, +7–981–137–72–02;Санкт-Петербург, Ветеранов проспект, 150;advokat-rk.ru;
юрист. club;+7 (812) 372–84–06, +7–921–434–04–55;Санкт-Петербург, Юрия Гагарина проспект, 28 к1;юрист.club;
Санкт-Петербургская Центральная коллегия адвокатов;+7 (812) 314–38–62, +7 (812) 571–92–56;Санкт-Петербург, Дмитровский переулок, 17Б;www.spbcka.ru;
Адвокатский кабинет Астаховой К.Д.;+7 (812) 908–43–85;Санкт-Петербург;law812.ru;
Успешный старт;+7 (812) 980–38–49;Санкт-Петербург, Московский проспект, 195;gutstart.ru;
Ваш Бизнес Консультант;+7–962–685–99–99, +7–921–412–17–11, +7 (812) 985–99–99;Санкт-Петербург, Выборгская набережная, 51;www.1vbk.ru;
Коллегия адвокатов Подоприхина В.Е.;+7–911–927–30–31;Санкт-Петербург, Краснодонская, 12 к12;www.kollegius.ru;
Юстиц-Коллегия, ООО;+7 (812) 579–71–97;Санкт-Петербург, Моховая, 47;www.yustic-kollegiya.spb.ru;
ПрофЮристГрупп, ООО;+7 (812) 904–66–87, +7–962–726–15–60;Санкт-Петербург, Новороссийская, 12;proflawyergroup.ru;
Межрегиональная адвокатская консультация;+7 (812) 321–37–82, +7 (812) 328–42–43;Санкт-Петербург, 11-я линия В.О., 24;;
Центр правовой поддержки Ветар, ООО;+7 (812) 490–76–37, +7 (812) 702–71–22;БЦ Гражданский 22,Санкт-Петербург, Гражданский проспект, 22;www.auditvetar.ru;
Адвокатский кабинет Ильясова О.Р.;+7–921–443–58–11, +7 (812) 275–46–43;БЦ Особняк Нейдгарта,Санкт-Петербург, Захарьевская, 31;;
Северо-Западное агентство по задолженностям;+7 (812) 324–67–36;БЦ Механобр,Санкт-Петербург, 22-я линия В.О., 3;www.nwdolg.ru;
Равновесие;+7 (812) 777–28–82;Санкт-Петербург, Ланское шоссе, 14 к1;www.ravnovesie.info;
Юридическое агентство;+7 (812) 983–47–89, +7 (812) 590–53–30;Санкт-Петербург, Гражданский проспект, 111;www.centre-jurist.ru;
Адвокатский кабинет Дымарецкого Д.Ю.;+7 (812) 906–93–33;Санкт-Петербург, Набережная реки Смоленки, 35 к1;;
GC Consulting;+7 (812) 332–49–63;ТРК Гранд Каньон,Санкт-Петербург, Энгельса проспект, 154;www.gcconsulting.ru;
Прайвокс Групп, ООО;+7 (812) 418–22–20;Санкт-Петербург, Шпалерная, 30;www.privox-group.ru;
Династия;+7–905–266–66–22;Санкт-Петербург, Ленина, 16;dinastia-advokat.ru;
Глобус, ООО;+7 (812) 912–40–59, +7 (812) 690–90–23, +7–931–260–51–51;Санкт-Петербург, Московский проспект, 199;;
ROSA`consulting group;8–800–250–80–88, +7 (812) 242–69–16;Санкт-Петербург, Благодатная, 63 к1 лит Д;www.rosacg.ru;
Аудиторский центр Санкт-Петербурга, ООО;+7 (812) 495–47–54, +7 (812) 495–47–53;Санкт-Петербург, Белоостровская, 28;ac-spb.ru;
Золотой Луч;+7 (812) 907–27–48;Санкт-Петербург, Шостаковича, 3 к1;fadeevda.ru;
Право и Закон, ООО;+7–964–342–93–69, +7 (812) 642–93–69;Санкт-Петербург, Александра Невского, 9;www.jusetlex.net;
Державин;+7 (812) 951–12–29, +7 (812) 907–89–16;БЦ НИИТМАШ,Санкт-Петербург, Караванная, 1;юрист-державин.рф;
Проф-Баланс;+7 (812) 904–15–24;Санкт-Петербург, Новгородская, 23;balansspb.ru;
Адвокатский кабинет Шабанова В.Г.;+7 (812) 580–49–24, +7–921–383–88–07;Санкт-Петербург, Латышских Стрелков, 5 к1;;
Юридический центр;+7 (812) 511–14–52, +7 (812) 510–79–66;Санкт-Петербург, Энгельса проспект, 111 к1;;
Адвокатский кабинет Тимошенко А.И.;+7 (812) 468–85–73, +7–950–010–91–52, +7 (812) 481–10–75;Санкт-Петербург, Трудящихся бульвар, 2;advokat-timoshenko.ru;
Прометей;+7–921–438–00–77, +7 (812) 329–30–53;Санкт-Петербург, Каменноостровский проспект, 37;bcgprometey.ru;
Прайм Консалт, ООО;+7–981–983–32–59;Санкт-Петербург, Ивана Черных, 29;;
Вивальди Консалт, ООО;+7 (812) 643–23–18;БЦ Finderent,Санкт-Петербург, Аптекарская набережная, 12;vivaldiconsult.ru;
Охта, ООО;+7 (812) 948–14–17, +7 (812) 644–64–14;Санкт-Петербург, Боровая, 53 к2 лит А;;
Lions Dale Services;+7 (812) 243–16–11;БЦ Собрание,Санкт-Петербург, Новорощинская, 4;lionsdale.ru;
Диалог, ООО;+7–921–903–03–22, +7 (812) 234–44–63;Санкт-Петербург, Каменноостровский проспект, 40;;
Цельс, ООО;+7 (812) 952–66–83, +7–931–228–24–30;Санкт-Петербург, Большая Пушкарская, 41;юридические-услуги-недорого.рф;
Балтийская правовая коллегия, ООО;+7 (812) 945–18–15, +7 (812) 622–07–63;БЦ Югра Северо-Запад,Санкт-Петербург, Таллинская, 6в;www.ooobpk.ru;
Пункт информирования и консультирования граждан по вопросам защиты прав потребителей;+7 (81370) 2–22–01;Всеволожск, Дорога Жизни шоссе, 13;;
Петербуржские Просторы;+7–981–185–42–84;Санкт-Петербург, Московский проспект, 6;;
Межрегиональный центр адвокатской консультации;+7 (812) 575–51–72;Санкт-Петербург, Лиговский проспект, 137;;
Адвокатский кабинет Комаровой В.М.;+7–921–966–88–03;БЦ Золотая Шпалерная,Санкт-Петербург, Шпалерная, 54;;
Волченков М.И., ИП;8–800–505–26–78, +7–921–971–70–82;Санкт-Петербург, Гончарная, 29;ipvmi.ru;
СпецИнком;+7 (812) 309–17–41, +7 (812) 992–55–77;Санкт-Петербург, Куйбышева, 10;специнком.рф;
Стоп Рейдер;+7 (812) 912–12–58;Санкт-Петербург, Яковлевский переулок, 2;stopraider.ru;
Щит и Меч;+7–964–342–24–45, +7 (812) 642–24–45;Санкт-Петербург, Уточкина, 3 к1;;
Право ГруппПраво Групп, ООО;+7 (812) 640–24–28;Санкт-Петербург, Савушкина, 138;pravogrupp.ru;
ВЭБЮРИНТЕЛ, ООО;+7 (812) 930–91–82, +7–911–230–85–06;Санкт-Петербург, Стойкости, 19;;
Адвокатский кабинет Стуколова А.Н.;+7–911–758–58–83, +7 (812) 992–42–08;Санкт-Петербург, Гагаринская, 6а;www.stukolov.com;
ЦЕНТР ЮРИДИЧЕСКИХ УСЛУГ, ООО;+7 (812) 320–08–39, +7 (812) 931–06–77;Санкт-Петербург, Стачек проспект, 54;www.ur-prof.ru;
Петербургская Палата Права;+7 (812) 927–88–99, +7 (812) 293–49–07;Санкт-Петербург, Энгельса проспект, 50;;
Генеральная линия;+7 (812) 958–98–34, +7–921–758–21–78;ТОЦ Чкаловский,Санкт-Петербург, Большая Разночинная, 16 лит А;general-line.ru;
Право и Справедливость, ООО;+7–911–175–18–25, +7–911–143–14–84;Санкт-Петербург, Просвещения проспект, 68 к1;spburis.ru;
Адвокатский кабинет Оганесян А.С.;+7–901–302–43–22, +7 (81362) 2–34–87, +7 (812) 903–43–22;Кировск, Кирова, 16а;www.lenobladvokat.ru;
Служба юридической помощи;+7 (812) 924–12–35, +7–911–924–12–35;Санкт-Петербург, Луначарского проспект, 72 к1;;
Северо-Запад Магистраль;+7–953–350–69–39;Санкт-Петербург, Луначарского проспект, 11 к1;9533506939.ru;
ИАТ Эксперт, ООО;+7 (812) 961–11–80, +7 (812) 449–32–54;пос. Бугры, Шоссейная, 58а;usz.spb.ru;
Служба Закона, ООО;+7 (812) 972–18–08, +7 (812) 275–17–51;Санкт-Петербург, Литейный проспект, 15;szakon.ru;
Помощник;+7 (812) 918–65–65, +7–931–266–02–58, +7 (812) 454–02–58, +7 (812) 454–02–59;Санкт-Петербург, Новолитовская, 15а;www.pomochnik.spb.ru;
ЮристЪ, ООО;+7–921–351–55–55;Санкт-Петербург, Обуховской Обороны проспект, 116;lawyer-spb.com;
ПрофКонсалтинг, ООО;+7 (812) 992–28–41;ТОЦ Суворовский,Санкт-Петербург, Советская 5-я, 44;uslugi-urista.spb.ru;
Ириюс-Консалт;+7–911–772–29–62;ДЦ Оптима,Санкт-Петербург, Торжковская, 5;irius-consult.ru;
Гарант Возмещения, ООО;+7 (812) 648–57–07;Санкт-Петербург, Белоостровская, 28;ubgv.ru;
Липсанен & Co;+7 (812) 326–65–05;Санкт-Петербург, 25-я линия В.О., 8;;
Правовед;+7 (812) 988–42–38, +7 (812) 240–88–08;Санкт-Петербург, Культуры, 14;правовед-спб.рф;
Бизнес-Адвокат;+7 (812) 380–18–79;Санкт-Петербург, Миронова, 6;;
Содействие;+7 (812) 928–05–10;Санкт-Петербург, Гончарная, 13;;
DAT-СПб;+7 (812) 953–31–81;БЦ Ильич,Санкт-Петербург, Белоостровская, 8;www.dat.spb.ru;
БизнесПартнер, ООО;+7–905–215–21–95;Санкт-Петербург, Таврическая, 17;;
ЮРолимп, ООО;+7 (812) 904–80–74, +7 (812) 715–31–84;Санкт-Петербург, Восстания, 7;юролимп.com;
Адвокатский кабинет Селезенева Д.А.;+7–921–657–72–77;Санкт-Петербург, Красного Курсанта, 25 лит Д;;
Недвижимость и Право, ООО;+7 (812) 469–90–37, +7 (812) 467–54–30;Санкт-Петербург, Ижорского Батальона, 4/35;www.ndvpspb.ru;
Алето консалт, ООО;+7 (812) 603–22–30;Санкт-Петербург, Яблочкова, 20;www.aleto.info;
Правовое агентство региональных инвестиций;+7–921–877–77–67;Санкт-Петербург, Невский проспект, 67;advocatspb.ru;
Юристы СПб, ООО;+7 (812) 933–10–31, +7–911–819–35–15;БЦ Новотроицкий,Санкт-Петербург, Обуховской Обороны проспект, 120 лит Б;yrspb.ru;
Современные правовые технологии, ООО;+7 (812) 931–77–38;БЦ Механобр,Санкт-Петербург, 22-я линия В.О., 3 к1;spteh.com;
Помощь, ООО;+7 (812) 491–17–07, +7 (812) 517–83–84;Санкт-Петербург, Руднева, 22 к1;help-to-you.ru;
Вотум;+7 (812) 308–88–14;Санкт-Петербург, Тореза проспект, 102 к4;votum-spb.ru;
Р.ГРУПП, ООО;+7 (812) 335–68–21;БЦ Питер,Санкт-Петербург, Московский проспект, 8;;
Адвокат-Недвижимость;+7 (812) 756–38–48, +7 (812) 752–57–38, +7 (812) 920–81–81;Санкт-Петербург, Дачный проспект, 11;advocat-n.ru;
Эра-сервис;+7 (812) 940–51–11;Санкт-Петербург, Энергетиков проспект, 61;;
Юридический центр Право, ООО;+7–911–171–63–41;Санкт-Петербург, Полевая Сабировская, 46;www.юцправо.рф;
Быстрое Решение;+7 (812) 981–40–73;Санкт-Петербург, Таврическая, 17;www.fast-law.ru;
Правовой центр, ООО;+7 (812) 275–06–09;Санкт-Петербург, Моховая, 18;;
Вектор Лигал;+7 (812) 920–45–77;Санкт-Петербург, Обуховской Обороны проспект, 197;vectorlegal.ru;
Адвокатская контора Черновола;+7 (812) 922–44–81;Санкт-Петербург, Дровяной переулок, 20;;
Юрисконсульт, ООО;+7 (812) 449–87–69, +7 (812) 449–87–00;Санкт-Петербург, Непокорённых проспект, 47;;
Ликург, ООО;+7 (812) 313–75–08;Санкт-Петербург, Малый проспект В.О., 62 к1;www.likurg.com;
Парадигма;8–800–333–46–39;Санкт-Петербург, Басков переулок, 13-15 лит А;srocontact.ru;
Абсолют;+7 (812) 992–91–88;Санкт-Петербург, Подольская, 20;abcolut.net;
АКГ ИНАУДИТ, ЗАО;+7 (812) 570–45–63;Санкт-Петербург, Загородный проспект, 7 лит Е;www.inaudit.spb.ru;
Северо-Западная юридическая группа, ООО;+7 (812) 326–78–76, +7 (812) 388–92–88;Санкт-Петербург, Заставская, 33ж;;
СПб-Бизнес-Консалт, ООО;+7 (812) 777–18–57, +7–962–684–90–38;Санкт-Петербург, Моисеенко, 41 лит Б;spbbusinessconsult.ru;
Выборгская сторона;+7 (812) 326–87–42, +7 (812) 326–87–41;Санкт-Петербург, Галерная, 20;;
Смольников и партнеры;+7–911–768–96–52;БЦ Аларчин мост,Санкт-Петербург, Римского-Корсакова проспект, 73;arh-urist.ru;
Санкт-Петербургская объединенная коллегия адвокатов;+7–921–927–28–84;Санкт-Петербург, Аврова, 26 к1;;
Советник;+7 (812) 962–28–75;Санкт-Петербург, Октябрьская, 17/3;юбск.рф;
Консул;+7 (812) 943–34–98;ТРК  Гулливер,Санкт-Петербург, Торфяная дорога, 7;;
Шарлотта СПб, ООО;+7 (812) 329–36–08;БЦ Инвэко,Санкт-Петербург, Юрия Гагарина проспект, 1;;
Lexterra;+7 (812) 575–56–08, +7–921–633–31–06;Санкт-Петербург, Пушкинская, 10;;
Аспектум., ООО;+7 (812) 932–17–63;БЦ Мариинский,Санкт-Петербург, Набережная реки Мойки, 58а;russia.legal;
КонсТуБи, ООО;+7 (812) 335–48–11;БЦ Ситилинк,Санкт-Петербург, 17-я линия В.О., 4-6;cons2b.spb.ru;
Союз адвокатов Санкт-Петербурга;+7 (812) 940–46–54;БЦ Лесной,Санкт-Петербург, Лесной проспект, 63;spbka.ru;
Центр Поддержки Предпринимателей, ООО;+7–921–185–48–29, +7 (812) 237–08–93;Санкт-Петербург, Каменноостровский проспект, 15;;
ЗЕМЛЯ и ПРАВО;+7 (812) 977–77–33, +7 (812) 333–50–38;ТЦ Балканский 3,Санкт-Петербург, Балканская площадь, 5 лит Я;земля-и-право.рф;
Шапошников и Партнеры;+7 (812) 408–21–54;БЦ Нордбург,Санкт-Петербург, Банковский переулок, 3;;
Адвокатская консультация №20;+7 (812) 437–47–83;Санкт-Петербург, Токарева, 18;;
Прайм Лекс, ООО;+7–921–998–88–90, +7 (812) 449–04–05;Санкт-Петербург, Тверская, 1а;www.primelex.net;
ЛаукаР, ООО;+7 (812) 907–60–50;Санкт-Петербург, Земледельческая, 5;gklaukar.ru;
Северо-западный правовой центр, ООО;+7 (81370) 4–38–42;Всеволожск, Всеволожский проспект, 12;;
Кронверкская;+7 (812) 649–14–02;Санкт-Петербург, Энтузиастов проспект, 45 к1;;
Адвокатский кабинет Логинова С.П.;+7–921–434–39–90;Санкт-Петербург, Стойкости, 34 к1;;
Интеграция, ООО;+7 (812) 677–05–53, +7 (812) 917–89–10;ТРК Континент,Санкт-Петербург, Бухарестская, 32;интеграцияпро.рф;
Правозащитник, ООО;+7 (812) 951–09–94, +7–911–822–66–88;Санкт-Петербург, Обуховской Обороны проспект, 116;;
Адвокатский кабинет Югай Г.Л.;+7 (812) 937–07–91;Санкт-Петербург, Пискарёвский проспект, 10;;
Конкорд, ЗАО;+7 (812) 703–40–41, +7 (812) 703–40–86;Санкт-Петербург, Марата, 92;www.koncord.spb.ru;
Щербина и Партнёры;+7 (812) 232–11–07, +7 (812) 498–52–40;Санкт-Петербург, Воскова, 27;www.shcherbina.ru;
Централизованная Бухгалтерия Калининского района;+7–921–650–25–89, +7 (812) 591–79–83, +7 (812) 591–79–84;Санкт-Петербург, Комиссара Смирнова, 4 к2;cbkr.ru;
Адвокатский кабинет Островской С.В.;+7 (812) 642–34–92, +7–921–978–46–68;Санкт-Петербург, Новочеркасский проспект, 45 к1;;
ЮристРФ;+7 (812) 981–37–50;Санкт-Петербург, Большеохтинский проспект, 7;juristrf.ru;
АС;+7 (812) 318–72–80, +7 (812) 369–32–56;Санкт-Петербург, Кузнецовская, 19;www.ac-g.ru;
НЭК;+7 (812) 230–05–20, +7 (812) 232–00–33;Санкт-Петербург, Куйбышева, 28 лит Ж;;
ТИТУЛ;+7 (812) 746–73–30;Санкт-Петербург, Набережная Обводного канала, 96;;
Ваш юрист, ООО;+7–900–625–93–09, +7–921–302–09–56, +7–921–897–01–91;Санкт-Петербург, Московский проспект, 109 к2;ticonsult.ru;
Правовые технологии;+7 (812) 702–18–45;Санкт-Петербург, Красного Курсанта, 25 лит Д;;
Балтийский меридиан;+7 (812) 612–82–50, +7 (812) 612–82–06;Гостиница Россия,Санкт-Петербург, Чернышевского площадь, 11;;
Олимп;+7 (812) 980–07–38, +7–911–221–98–41;Санкт-Петербург, Большой Казачий переулок, 11;olimpn.ru;
Старый Петербург;+7 (812) 579–70–36, +7–909–577–11–65;Санкт-Петербург, Литейный проспект, 46;oldpetersburg.ru;
А2;+7 (812) 649–45–01;Санкт-Петербург, Басков переулок, 7;jurist-a2.ru;
Содействие;+7 (812) 928–05–10;Санкт-Петербург, Луначарского проспект, 72 к1;;
ЛЕГАЛИКА;+7–904–636–66–85;ТОК  Академический,Санкт-Петербург, Гражданский проспект, 41;legalika.ru;
КРЕАТИВ-ФИНАНС;+7 (812) 942–50–80, +7 (812) 574–29–33;Санкт-Петербург, Косыгина проспект, 27 к1;www.creative-finance.ru;
B4B;+7 (812) 423–48–62, +7–921–337–25–20;Санкт-Петербург, Сафронова, 4а;b4b.spb.ru;
Юрпроект;+7 (812) 929–08–98;БЦ Цитадель,Санкт-Петербург, Краснопутиловская, 69;urproect.ru;
DAT-СПб;+7 (812) 953–31–81;Санкт-Петербург, Выборгское шоссе, 34;www.dat.spb.ru;
Адвокатский кабинет Алиева Э.И.;+7–905–283–82–43, +7 (812) 577–44–64;Санкт-Петербург, Советская 9-я, 4;;
ВТ-Консалт, ООО;+7 (812) 642–24–40, +7 (812) 319–55–15;ТЦ Елизаровский,Санкт-Петербург, Елизарова проспект, 38;www.vt-consult.ru;
ЯНОЛС, ООО;+7 (812) 713–26–04;Санкт-Петербург, Правды, 8;;
Партнер-СПб;+7–981–958–15–98;Санкт-Петербург, Стачек проспект, 47;;
Юринформ-Центр, ООО;+7 (812) 718–69–18;Офисный дом Колобовых,Санкт-Петербург, Большой проспект П.С., 18;www.jurinform.ru;
Юридическая фирма;+7 (812) 939–40–68, +7–921–939–40–68;Санкт-Петербург, Труда, 2;;
Приморский;+7 (812) 926–38–33;ТОЦ Miller Center,Санкт-Петербург, Испытателей проспект, 30;pcn.spb.ru;
Аркона;+7 (812) 602–08–16;Санкт-Петербург, Набережная реки Фонтанки, 112Б;;
ТБЛ;+7 (812) 622–08–11, +7 (812) 622–08–23;Санкт-Петербург, Бассейная, 21;www.tblab.ru;
Гражданский адвокат;+7–921–320–04–33;Санкт-Петербург, Большая Монетная, 25;www.lawnow.ru;
Орбита-Аудит;+7 (812) 715–31–46;Санкт-Петербург, Советская 9-я, 4;orbita-audit.ru;
Юридическая консультация Максимова Е.А.;+7 (812) 983–91–81, +7–981–955–36–74;Санкт-Петербург, Садовая, 7-9-11;;
Царскосельский центр помощи бизнесу;+7 (812) 942–67–80;Санкт-Петербург, Детскосельский бульвар, 3а;;
ЮРБЮРО Онлайн, ООО;8–800–350–56–09;Санкт-Петербург, Софьи Ковалевской, 3 к1;yurburo.ru;
Судебная Практика, ООО;+7–911–970–17–45;Санкт-Петербург, 4-я линия В.О., 35-37 лит Б;www.gruppa-praktika.ru;
Правовая защита, ООО;+7 (812) 528–87–85;Санкт-Петербург, Заневский проспект, 15;;
Лекс;+7 (812) 408–52–47;Санкт-Петербург, Пятилеток проспект, 15 к1;lawyer-843.business.site;
Питер, ООО;+7 (812) 324–26–56;Санкт-Петербург, Большая Разночинная, 14 к5;piteruf.ru;
Центр юридической консультации;+7 (812) 920–00–04, +7–904–518–66–98;ДК им.Горького,Санкт-Петербург, Стачек площадь, 4;www.smurckov-yurist.narod.ru;
Лига медиаторов;+7 (812) 579–27–48;Санкт-Петербург, Некрасова, 58;arbimed.ru;
Адвокатский кабинет Сиников А.А.;+7–911–223–42–20;Всеволожск, Александровская, 77 к2;;
Адвокатский кабинет Кириллов А.А.;+7 (812) 916–70–30;Санкт-Петербург, Чехова, 12-16;advokatkirillov.ru;
ПрофБух;+7–952–225–17–15;Санкт-Петербург, Правды, 12;profbuh98.ru;
Юков и партнеры;+7 (812) 449–80–10;БЦ B & D,Санкт-Петербург, Синопская набережная, 50а;yukov.ru;
Privat Banking Services;+7–981–700–37–42;Санкт-Петербург, Лиговский проспект, 81а;;
ПРАВО;+7 (812) 970–66–80;Санкт-Петербург, Невский проспект, 23;pravopeterburg.ru;
Юридическая консультация №35;+7 (812) 627–65–79;Санкт-Петербург, Набережная Чёрной речки, 51 лит Б;;
Северо-Западный Правовой Альянс, ООО;+7 (812) 387–87–37, +7 (812) 387–87–36;Санкт-Петербург, Севастьянова, 3;www.szpaspb.ru;
Наследник-SPB;+7–921–982–55–92, +7 (812) 987–24–20, +7 (812) 400–11–13;Санкт-Петербург, Рубинштейна, 34;www.naslednik-spb.ru;
Адвокатский кабинет Акимовой А.Г.;+7 (812) 902–53–12;Санкт-Петербург, Дворцовый проспект, 22Б;;
КиТ;+7 (812) 920–14–42;Санкт-Петербург, Комиссара Смирнова, 5;spb-kit.ru;
Фемида, ООО;+7–952–383–77–78;Гатчина, 25 Октября проспект, 15;;
Петербургский адвокат;+7–921–350–77–49;Санкт-Петербург, Просвещения проспект, 33 к1;www.piteradvokat.spb.ru;
КОНТАКТ, ООО;+7–911–794–65–83;пос. Мурино, Боровая, 30;;
ВАШ АДВОКАТ, ООО;+7 (812) 649–11–16, +7 (812) 716–03–14;Санкт-Петербург, Невский проспект, 136;spb-law.ulcraft.com;
Держава, ООО;+7–911–221–21–10;Санкт-Петербург, Обуховской Обороны проспект, 120 лит К;;
Адвокатский кабинет Роголева К.А.;+7 (812) 930–65–95, +7 (812) 230–96–33;Санкт-Петербург, Бармалеева, 22;;
Служба помощи дольщикам;+7–911–087–80–07;БЦ Итальянская 5,Санкт-Петербург, Итальянская, 5;dduhelp.ru;
Тактика права, ООО;+7 (812) 444–41–15;Санкт-Петербург, Новочеркасский проспект, 52 лит В;;
Адвокатский кабинет Сомова С.В.;+7 (812) 926–09–10;Санкт-Петербург, Краснодонская, 12 к13;;
Региональный Центр Судебной Экспертизы;+7 (812) 987–26–10, +7 (812) 981–96–42, +7–921–349–39–39;Санкт-Петербург, Ульяны Громовой переулок, 4;rcse-spb.com;
ЦАРСКОСЕЛЬСКИЙ ДОМ, ООО;+7 (812) 451–66–68;Санкт-Петербург, Магазейная, 68;;
Флагман;+7 (812) 600–44–40, +7–911–981–46–56;БЦ Кантемировский,Санкт-Петербург, Инструментальная, 3 лит Б;flagman-centr.ru;
СОДРУЖЕСТВО АВТОЮРИСТОВ;+7 (812) 934–06–74, +7–921–934–06–74;БЦ Троицкий, Санкт-Петербург, Мира, 3;unautolawyers.ru;
Веданта, ООО;+7 (812) 380–96–37;Санкт-Петербург, Малый проспект В.О., 62 к1;www.af-vedanta.net;
Защита;+7 (812) 645–97–23;Санкт-Петербург, Хасанская, 10 к1;;
Консультационно-экономическое управление, ООО;+7 (812) 571–83–48;Санкт-Петербург, Средняя Подьяческая, 4;;
ЛексИнЮст;+7 (812) 252–07–61, +7 (812) 747–34–09, +7–911–252–07–61;Санкт-Петербург, Старо-Петергофский проспект, 37;lexinust.ru;
Правовой центр;+7 (812) 985–20–93, +7 (812) 322–73–05;Санкт-Петербург, Гаванская, 3;;
Инюрколлегия;+7–951–671–91–68, +7 (812) 712–02–61, +7 (812) 712–16–79;Санкт-Петербург, Пушкинская, 13;;
ДТП-Автоэксперт;+7 (812) 949–64–65;Санкт-Петербург, Репищева, 14;dtp-avtoexpert.ru;
Адвокатский кабинет Смирнова А.А.;+7 (812) 500–57–88;Санкт-Петербург, Софийская, 20 к1;law.muxe.com;
Северо-Западное экспертное бюро, ООО;+7 (812) 293–16–35, +7–901–317–53–08;Санкт-Петербург, Большой Сампсониевский проспект, 29 лит А;nwexpert.ru;
Адвокатский кабинет Клименко Л.В.;+7–911–902–09–25, +7 (81370) 4–01–99, +7 (812) 942–80–35;Всеволожск, Московская, 9;;
Адвокатский кабинет Фурлет В.А.;+7 (812) 945–64–30;БЦ Вертикаль,Санкт-Петербург, Энгельса проспект, 30;;
Городская Оценка;+7 (812) 642–60–50;БЦ Владимирский 17,Санкт-Петербург, Владимирский проспект, 17;www.goroc.ru;
ЛОГОС;+7–953–164–26–42, +7–911–811–06–16;Санкт-Петербург;логос-центр.рф;
Адвокатская консультация №31;+7 (812) 251–13–77, +7–921–743–93–77;Санкт-Петербург, Старо-Петергофский проспект, 21 к5;afanasyev.spb.ru;
Северо-Запад Магистраль;+7–953–350–69–39;Санкт-Петербург, Руставели, 35;9533506939.ru;
Castren & Snellman;+7 (812) 325–80–85;Санкт-Петербург, Невский проспект, 24;www.castren.fi;
Адвокатский кабинет Рыбальченко О.С.;+7–905–207–27–37;Кировск, Набережная, 1а;;
Юрвиб, ООО;+7–905–227–78–27;Санкт-Петербург, Оборонная, 10;urvib.ru;
Эксперт-Оптима, ООО;+7–981–125–57–92, +7–911–821–54–10;Санкт-Петербург, Колпинское шоссе, 6;;
Бюро оптимальных решений, ООО;+7 (812) 983–49–81, +7 (812) 983–49–64;Санкт-Петербург, Краснодонская, 4;www.9834981.com;
АнриГарант, ООО;+7–921–303–10–81, +7 (812) 346–50–06;БЦ Новотроицкий,Санкт-Петербург, Обуховской Обороны проспект, 120 лит Б;www.anrygarant.ru;
Правовое дело, ООО;+7 (812) 244–28–83;Санкт-Петербург, Ижорского Батальона, 4/35;;
Крашенинников и партнеры;+7 (812) 907–29–16;Санкт-Петербург;;
ТИС Плюс, ООО;+7–921–943–86–43, +7 (812) 271–10–08;Санкт-Петербург, Ставропольская, 10;tisplus.com;
КСК, ООО;+7 (812) 702–56–21;Санкт-Петербург, Выборгское шоссе, 22 лит Б;;
Телефонная юридическая служба;8–800–505–92–63;Санкт-Петербург, Набережная реки Фонтанки, 59;9111.ru;
Адвокатский кабинет Арсентьева И.Г.;+7–911–930–46–55;Всеволожск, Всеволожский проспект, 27;;
Тонковъ и Партнеры;+7 (812) 966–13–35;Санкт-Петербург, Куйбышева, 26 к2;tonkov.ru;
АСК;+7 (812) 974–45–09;Санкт-Петербург, Стачек проспект, 47;;
Компас, ООО;+7–921–770–01–31;Санкт-Петербург, Королёва проспект, 48 к6;;
Юридическое агентство;+7 (812) 958–73–52;Санкт-Петербург, Тобольская, 12;bogdanovpavel.ru;
Семья и дом;+7–921–877–71–50;Санкт-Петербург, Благодатная, 12;юристы911.рф;
ЮрПрофи;+7–911–240–02–66, +7 (81361) 2–26–36;Тосно, Советская, 9;;
Северный;+7–911–707–07–00;Санкт-Петербург;ukspor.tiu.ru;
